Year,Reporter Code,Trade Flow Code,Partner Code,Classification,Commodity Code,Quantity Unit Code,Supplementary Quantity,Netweight (kg),Value,Estimation Code
2011,388,1,0,H3,91020,8,4444,4444,21009,0
2011,388,2,0,H3,91030,8,82730,82730,145522,0
2011,388,1,0,H3,91030,8,91425,91425,378856,0
2011,388,2,0,H3,91091,8,4717,4717,27669,0
2011,388,1,0,H3,91091,8,15338,15338,93579,0
2011,388,3,0,H3,91099,8,129,129,43331,0
2011,388,2,0,H3,91099,8,199249,199249,1053291,0
2011,388,1,0,H3,91099,8,92145,92145,386691,0
2011,388,1,0,H3,90230,8,11343,11343,87557,0
2011,388,3,0,H3,90240,8,1214,1214,1725,0
2011,388,2,0,H3,90240,8,9690,9690,55806,0
2011,388,1,0,H3,90240,8,134344,134344,1018594,0
2011,388,2,0,H3,904,8,548606,548606,2653599,0
2011,388,1,0,H3,904,8,388953,388953,2230230,0
